cohort_key,match_level,triage_level,age_group,arrival_hour,patient_count,avg_wait_minutes,median_wait_minutes,p90_wait_minutes,avg_los_minutes,median_los_minutes,p90_los_minutes,admission_rate
OVERALL|ALL|ALL|ALL,OVERALL,ALL,ALL,ALL,16025,36.03,14.0,91.0,298.61,191.0,556.0,0.132356
TRIAGE_AGE_HOUR|5|45-64|21,TRIAGE_AGE_HOUR,5,45-64,21,1,45.0,45.0,45.0,3998.0,3998.0,3998.0,0.0
TRIAGE_AGE_HOUR|5|45-64|22,TRIAGE_AGE_HOUR,5,45-64,22,2,20.0,20.0,31.0,776.0,776.0,1499.0,0.0
TRIAGE_AGE_HOUR|5|45-64|23,TRIAGE_AGE_HOUR,5,45-64,23,1,15.0,15.0,15.0,111.0,111.0,111.0,0.0
TRIAGE_AGE_HOUR|5|45-64|3,TRIAGE_AGE_HOUR,5,45-64,3,1,82.0,82.0,82.0,128.0,128.0,128.0,0.0
TRIAGE_AGE_HOUR|5|45-64|4,TRIAGE_AGE_HOUR,5,45-64,4,3,8.5,8.5,11.0,72.67,15.0,195.0,0.0
TRIAGE_AGE_HOUR|5|45-64|7,TRIAGE_AGE_HOUR,5,45-64,7,1,,,,38.0,38.0,38.0,0.0
TRIAGE_AGE_HOUR|5|45-64|8,TRIAGE_AGE_HOUR,5,45-64,8,1,11.0,11.0,11.0,114.0,114.0,114.0,0.0
TRIAGE_AGE_HOUR|5|45-64|9,TRIAGE_AGE_HOUR,5,45-64,9,4,18.0,13.0,37.0,173.0,128.5,347.0,0.0
TRIAGE_AGE_HOUR|5|45-64|ALL,TRIAGE_AGE_HOUR,5,45-64,ALL,2,,,,,,,0.0
TRIAGE_AGE_HOUR|5|65-74|0,TRIAGE_AGE_HOUR,5,65-74,0,1,10.0,10.0,10.0,70.0,70.0,70.0,0.0
TRIAGE_AGE_HOUR|5|65-74|11,TRIAGE_AGE_HOUR,5,65-74,11,1,5.0,5.0,5.0,41.0,41.0,41.0,0.0
TRIAGE_AGE_HOUR|5|65-74|12,TRIAGE_AGE_HOUR,5,65-74,12,2,13.0,13.0,26.0,261.5,261.5,356.0,0.0
TRIAGE_AGE_HOUR|5|65-74|13,TRIAGE_AGE_HOUR,5,65-74,13,4,45.0,39.0,65.0,159.75,137.0,247.0,0.0
TRIAGE_AGE_HOUR|5|65-74|14,TRIAGE_AGE_HOUR,5,65-74,14,2,49.0,49.0,49.0,77.5,77.5,100.0,0.0
TRIAGE_AGE_HOUR|5|65-74|15,TRIAGE_AGE_HOUR,5,65-74,15,2,219.5,219.5,430.0,243.0,243.0,473.0,0.5
TRIAGE_AGE_HOUR|5|65-74|16,TRIAGE_AGE_HOUR,5,65-74,16,3,63.33,90.0,96.0,116.67,119.0,163.0,0.0
TRIAGE_AGE_HOUR|5|65-74|17,TRIAGE_AGE_HOUR,5,65-74,17,1,,,,56.0,56.0,56.0,1.0
TRIAGE_AGE_HOUR|5|65-74|20,TRIAGE_AGE_HOUR,5,65-74,20,3,39.33,4.0,112.0,197.33,152.0,366.0,0.0
TRIAGE_AGE_HOUR|5|65-74|21,TRIAGE_AGE_HOUR,5,65-74,21,1,11.0,11.0,11.0,21.0,21.0,21.0,0.0
TRIAGE_AGE_HOUR|5|65-74|23,TRIAGE_AGE_HOUR,5,65-74,23,1,9.0,9.0,9.0,101.0,101.0,101.0,0.0
TRIAGE_AGE_HOUR|5|65-74|5,TRIAGE_AGE_HOUR,5,65-74,5,1,,,,184.0,184.0,184.0,0.0
TRIAGE_AGE_HOUR|5|65-74|9,TRIAGE_AGE_HOUR,5,65-74,9,2,6.0,6.0,12.0,115.0,115.0,202.0,0.5
TRIAGE_AGE_HOUR|5|75+|1,TRIAGE_AGE_HOUR,5,75+,1,1,8.0,8.0,8.0,144.0,144.0,144.0,0.0
TRIAGE_AGE_HOUR|5|75+|10,TRIAGE_AGE_HOUR,5,75+,10,2,19.0,19.0,27.0,374.5,374.5,402.0,0.0
TRIAGE_AGE_HOUR|5|75+|11,TRIAGE_AGE_HOUR,5,75+,11,4,3.33,0.0,10.0,125.0,44.5,381.0,0.0
TRIAGE_AGE_HOUR|5|75+|13,TRIAGE_AGE_HOUR,5,75+,13,2,15.5,15.5,26.0,92.5,92.5,150.0,0.0
TRIAGE_AGE_HOUR|5|75+|15,TRIAGE_AGE_HOUR,5,75+,15,1,22.0,22.0,22.0,272.0,272.0,272.0,0.0
TRIAGE_AGE_HOUR|5|75+|16,TRIAGE_AGE_HOUR,5,75+,16,2,12.5,12.5,20.0,31.0,31.0,34.0,0.0
TRIAGE_AGE_HOUR|5|75+|18,TRIAGE_AGE_HOUR,5,75+,18,1,9.0,9.0,9.0,61.0,61.0,61.0,0.0
TRIAGE_AGE_HOUR|5|75+|23,TRIAGE_AGE_HOUR,5,75+,23,1,10.0,10.0,10.0,80.0,80.0,80.0,0.0
TRIAGE_AGE_HOUR|5|75+|5,TRIAGE_AGE_HOUR,5,75+,5,1,36.0,36.0,36.0,132.0,132.0,132.0,0.0
TRIAGE_AGE_HOUR|5|75+|8,TRIAGE_AGE_HOUR,5,75+,8,3,3.67,2.0,8.0,39.33,40.0,55.0,0.0
TRIAGE_AGE_HOUR|5|75+|9,TRIAGE_AGE_HOUR,5,75+,9,2,8.0,8.0,8.0,56.0,56.0,75.0,0.0
TRIAGE_AGE_HOUR|ALL|0-17|0,TRIAGE_AGE_HOUR,ALL,0-17,0,37,26.59,10.0,99.0,383.06,165.0,542.0,0.027027
TRIAGE_AGE_HOUR|ALL|0-17|1,TRIAGE_AGE_HOUR,ALL,0-17,1,41,40.05,16.0,53.0,176.0,129.0,344.0,0.04878
TRIAGE_AGE_HOUR|ALL|0-17|10,TRIAGE_AGE_HOUR,ALL,0-17,10,79,33.33,16.5,75.0,191.58,135.0,378.0,0.012658
TRIAGE_AGE_HOUR|ALL|0-17|11,TRIAGE_AGE_HOUR,ALL,0-17,11,74,37.32,9.0,110.0,209.81,144.5,326.0,0.067568
TRIAGE_AGE_HOUR|ALL|0-17|12,TRIAGE_AGE_HOUR,ALL,0-17,12,85,52.72,12.0,188.0,245.18,191.0,432.0,0.070588
TRIAGE_AGE_HOUR|ALL|0-17|13,TRIAGE_AGE_HOUR,ALL,0-17,13,73,50.12,17.0,120.0,289.14,156.0,339.0,0.09589
TRIAGE_AGE_HOUR|ALL|0-17|14,TRIAGE_AGE_HOUR,ALL,0-17,14,70,30.69,15.0,84.0,196.55,146.0,283.0,0.042857
TRIAGE_AGE_HOUR|ALL|0-17|15,TRIAGE_AGE_HOUR,ALL,0-17,15,63,42.92,20.0,131.0,299.4,163.0,419.0,0.063492
TRIAGE_AGE_HOUR|ALL|0-17|16,TRIAGE_AGE_HOUR,ALL,0-17,16,75,43.31,19.0,122.0,257.41,141.0,447.0,0.04
TRIAGE_AGE_HOUR|ALL|0-17|17,TRIAGE_AGE_HOUR,ALL,0-17,17,77,41.83,16.5,129.0,297.11,156.0,413.0,0.051948
TRIAGE_AGE_HOUR|ALL|0-17|18,TRIAGE_AGE_HOUR,ALL,0-17,18,83,52.54,19.5,117.0,200.45,163.0,338.0,0.036145
TRIAGE_AGE_HOUR|ALL|0-17|19,TRIAGE_AGE_HOUR,ALL,0-17,19,85,38.64,20.5,113.0,226.78,143.5,406.0,0.058824
TRIAGE_AGE_HOUR|ALL|0-17|2,TRIAGE_AGE_HOUR,ALL,0-17,2,21,33.78,15.0,77.0,196.75,152.5,281.0,0.047619
TRIAGE_AGE_HOUR|ALL|0-17|20,TRIAGE_AGE_HOUR,ALL,0-17,20,88,40.29,16.0,135.0,210.31,161.0,333.0,0.056818
TRIAGE_AGE_HOUR|ALL|0-17|21,TRIAGE_AGE_HOUR,ALL,0-17,21,88,33.61,18.0,70.0,191.87,122.0,361.0,0.011364
TRIAGE_AGE_HOUR|ALL|0-17|22,TRIAGE_AGE_HOUR,ALL,0-17,22,57,33.41,17.5,63.0,400.92,108.0,893.0,0.087719
TRIAGE_AGE_HOUR|ALL|0-17|23,TRIAGE_AGE_HOUR,ALL,0-17,23,45,36.62,9.0,78.0,211.8,150.0,398.0,0.044444
TRIAGE_AGE_HOUR|ALL|0-17|3,TRIAGE_AGE_HOUR,ALL,0-17,3,20,30.47,8.0,59.0,188.78,137.0,254.0,0.05
TRIAGE_AGE_HOUR|ALL|0-17|4,TRIAGE_AGE_HOUR,ALL,0-17,4,21,46.22,17.0,104.0,281.85,165.0,531.0,0.047619
TRIAGE_AGE_HOUR|ALL|0-17|5,TRIAGE_AGE_HOUR,ALL,0-17,5,17,24.36,6.0,59.0,210.8,169.0,342.0,0.117647
TRIAGE_AGE_HOUR|ALL|0-17|6,TRIAGE_AGE_HOUR,ALL,0-17,6,11,38.71,24.0,65.0,289.5,186.5,584.0,0.090909
TRIAGE_AGE_HOUR|ALL|0-17|7,TRIAGE_AGE_HOUR,ALL,0-17,7,30,24.23,5.0,42.0,174.97,109.5,289.0,0.0
TRIAGE_AGE_HOUR|ALL|0-17|8,TRIAGE_AGE_HOUR,ALL,0-17,8,53,41.05,15.5,127.0,137.08,114.0,248.0,0.0
TRIAGE_AGE_HOUR|ALL|0-17|9,TRIAGE_AGE_HOUR,ALL,0-17,9,58,38.79,9.5,131.0,206.59,137.5,468.0,0.086207
TRIAGE_AGE_HOUR|ALL|0-17|ALL,TRIAGE_AGE_HOUR,ALL,0-17,ALL,30,,,,,,,0.2
TRIAGE_AGE_HOUR|ALL|18-44|0,TRIAGE_AGE_HOUR,ALL,18-44,0,56,37.32,15.0,59.0,302.44,160.5,834.0,0.071429
TRIAGE_AGE_HOUR|ALL|18-44|1,TRIAGE_AGE_HOUR,ALL,18-44,1,64,49.24,22.0,59.0,287.73,171.0,491.0,0.078125
TRIAGE_AGE_HOUR|ALL|18-44|10,TRIAGE_AGE_HOUR,ALL,18-44,10,112,25.12,17.5,61.0,239.0,157.0,423.0,0.080357
TRIAGE_AGE_HOUR|ALL|18-44|11,TRIAGE_AGE_HOUR,ALL,18-44,11,103,35.77,12.0,53.0,229.2,156.0,359.0,0.07767
TRIAGE_AGE_HOUR|ALL|18-44|12,TRIAGE_AGE_HOUR,ALL,18-44,12,120,39.29,17.0,98.0,263.88,151.0,619.0,0.091667
TRIAGE_AGE_HOUR|ALL|18-44|13,TRIAGE_AGE_HOUR,ALL,18-44,13,136,43.48,17.0,110.0,253.37,153.0,527.0,0.066176
TRIAGE_AGE_HOUR|ALL|18-44|14,TRIAGE_AGE_HOUR,ALL,18-44,14,127,59.0,23.0,156.0,296.79,208.0,537.0,0.062992
TRIAGE_AGE_HOUR|ALL|18-44|15,TRIAGE_AGE_HOUR,ALL,18-44,15,110,35.64,16.0,93.0,216.09,154.0,374.0,0.063636
TRIAGE_AGE_HOUR|ALL|18-44|16,TRIAGE_AGE_HOUR,ALL,18-44,16,118,27.43,13.0,61.0,326.44,159.0,443.0,0.101695
TRIAGE_AGE_HOUR|ALL|18-44|17,TRIAGE_AGE_HOUR,ALL,18-44,17,87,49.91,26.0,121.0,298.04,160.0,475.0,0.068966
TRIAGE_AGE_HOUR|ALL|18-44|18,TRIAGE_AGE_HOUR,ALL,18-44,18,124,37.04,18.5,94.0,210.01,135.5,371.0,0.080645
TRIAGE_AGE_HOUR|ALL|18-44|19,TRIAGE_AGE_HOUR,ALL,18-44,19,110,27.83,12.5,86.0,199.79,136.5,361.0,0.063636
TRIAGE_AGE_HOUR|ALL|18-44|2,TRIAGE_AGE_HOUR,ALL,18-44,2,46,42.62,9.0,51.0,293.88,150.0,826.0,0.086957
TRIAGE_AGE_HOUR|ALL|18-44|20,TRIAGE_AGE_HOUR,ALL,18-44,20,101,39.11,19.5,110.0,243.89,160.0,434.0,0.049505
TRIAGE_AGE_HOUR|ALL|18-44|21,TRIAGE_AGE_HOUR,ALL,18-44,21,86,35.04,15.0,96.0,231.29,151.5,415.0,0.069767
TRIAGE_AGE_HOUR|ALL|18-44|22,TRIAGE_AGE_HOUR,ALL,18-44,22,60,19.46,10.5,37.0,186.8,146.0,366.0,0.066667
TRIAGE_AGE_HOUR|ALL|18-44|23,TRIAGE_AGE_HOUR,ALL,18-44,23,58,52.91,21.0,79.0,451.55,206.0,693.0,0.086207
TRIAGE_AGE_HOUR|ALL|18-44|3,TRIAGE_AGE_HOUR,ALL,18-44,3,33,31.08,14.0,104.0,470.09,145.0,1118.0,0.151515
TRIAGE_AGE_HOUR|ALL|18-44|4,TRIAGE_AGE_HOUR,ALL,18-44,4,30,20.2,20.0,47.0,331.12,141.5,404.0,0.066667
TRIAGE_AGE_HOUR|ALL|18-44|5,TRIAGE_AGE_HOUR,ALL,18-44,5,35,34.57,14.5,85.0,263.76,179.0,613.0,0.114286
TRIAGE_AGE_HOUR|ALL|18-44|6,TRIAGE_AGE_HOUR,ALL,18-44,6,40,16.74,8.0,35.0,321.44,138.0,643.0,0.175
TRIAGE_AGE_HOUR|ALL|18-44|7,TRIAGE_AGE_HOUR,ALL,18-44,7,54,16.6,10.0,40.0,350.28,152.0,596.0,0.074074
TRIAGE_AGE_HOUR|ALL|18-44|8,TRIAGE_AGE_HOUR,ALL,18-44,8,67,25.82,10.0,58.0,300.02,166.0,493.0,0.029851
TRIAGE_AGE_HOUR|ALL|18-44|9,TRIAGE_AGE_HOUR,ALL,18-44,9,101,27.95,17.0,63.0,284.38,157.5,511.0,0.158416
TRIAGE_AGE_HOUR|ALL|18-44|ALL,TRIAGE_AGE_HOUR,ALL,18-44,ALL,75,,,,,,,0.066667
TRIAGE_AGE_HOUR|ALL|45-64|0,TRIAGE_AGE_HOUR,ALL,45-64,0,25,45.36,4.5,42.0,407.0,221.0,968.0,0.24
TRIAGE_AGE_HOUR|ALL|45-64|1,TRIAGE_AGE_HOUR,ALL,45-64,1,35,37.55,19.0,83.0,261.59,175.5,530.0,0.142857
TRIAGE_AGE_HOUR|ALL|45-64|10,TRIAGE_AGE_HOUR,ALL,45-64,10,84,36.09,16.0,87.0,280.24,188.0,413.0,0.178571
TRIAGE_AGE_HOUR|ALL|45-64|11,TRIAGE_AGE_HOUR,ALL,45-64,11,77,46.59,21.5,106.0,282.23,195.0,557.0,0.116883
TRIAGE_AGE_HOUR|ALL|45-64|12,TRIAGE_AGE_HOUR,ALL,45-64,12,72,31.25,13.0,77.0,299.35,181.0,534.0,0.166667
TRIAGE_AGE_HOUR|ALL|45-64|13,TRIAGE_AGE_HOUR,ALL,45-64,13,87,49.08,27.5,113.0,215.99,176.0,474.0,0.114943
TRIAGE_AGE_HOUR|ALL|45-64|14,TRIAGE_AGE_HOUR,ALL,45-64,14,79,48.95,17.5,70.0,325.24,156.0,745.0,0.139241
TRIAGE_AGE_HOUR|ALL|45-64|15,TRIAGE_AGE_HOUR,ALL,45-64,15,61,44.53,12.0,92.0,354.26,201.5,694.0,0.196721
TRIAGE_AGE_HOUR|ALL|45-64|16,TRIAGE_AGE_HOUR,ALL,45-64,16,63,31.2,12.0,98.0,258.32,161.0,314.0,0.142857
TRIAGE_AGE_HOUR|ALL|45-64|17,TRIAGE_AGE_HOUR,ALL,45-64,17,53,38.2,13.0,71.0,308.14,161.0,695.0,0.113208
TRIAGE_AGE_HOUR|ALL|45-64|18,TRIAGE_AGE_HOUR,ALL,45-64,18,57,34.26,15.0,65.0,396.04,206.0,1259.0,0.157895
TRIAGE_AGE_HOUR|ALL|45-64|19,TRIAGE_AGE_HOUR,ALL,45-64,19,57,52.18,14.0,181.0,337.49,197.0,695.0,0.105263
TRIAGE_AGE_HOUR|ALL|45-64|2,TRIAGE_AGE_HOUR,ALL,45-64,2,30,20.28,9.0,43.0,409.63,167.5,927.0,0.1
TRIAGE_AGE_HOUR|ALL|45-64|20,TRIAGE_AGE_HOUR,ALL,45-64,20,45,51.49,26.0,104.0,526.14,191.0,1080.0,0.133333
TRIAGE_AGE_HOUR|ALL|45-64|21,TRIAGE_AGE_HOUR,ALL,45-64,21,51,43.82,21.5,97.0,286.27,152.0,643.0,0.039216
TRIAGE_AGE_HOUR|ALL|45-64|22,TRIAGE_AGE_HOUR,ALL,45-64,22,43,47.0,11.0,82.0,477.27,197.0,1186.0,0.27907
TRIAGE_AGE_HOUR|ALL|45-64|23,TRIAGE_AGE_HOUR,ALL,45-64,23,33,38.88,20.5,81.0,450.19,290.0,823.0,0.151515
TRIAGE_AGE_HOUR|ALL|45-64|3,TRIAGE_AGE_HOUR,ALL,45-64,3,12,107.0,18.0,58.0,322.45,173.0,830.0,0.166667
TRIAGE_AGE_HOUR|ALL|45-64|4,TRIAGE_AGE_HOUR,ALL,45-64,4,18,16.28,10.5,33.0,314.94,141.0,899.0,0.111111
TRIAGE_AGE_HOUR|ALL|45-64|5,TRIAGE_AGE_HOUR,ALL,45-64,5,19,88.57,20.5,156.0,389.95,236.0,927.0,0.157895
TRIAGE_AGE_HOUR|ALL|45-64|6,TRIAGE_AGE_HOUR,ALL,45-64,6,29,62.4,9.0,278.0,315.41,199.0,646.0,0.068966
TRIAGE_AGE_HOUR|ALL|45-64|7,TRIAGE_AGE_HOUR,ALL,45-64,7,31,26.04,8.0,99.0,284.76,161.0,516.0,0.16129
TRIAGE_AGE_HOUR|ALL|45-64|8,TRIAGE_AGE_HOUR,ALL,45-64,8,81,20.4,9.0,51.0,220.44,156.0,423.0,0.098765
TRIAGE_AGE_HOUR|ALL|45-64|9,TRIAGE_AGE_HOUR,ALL,45-64,9,83,30.28,15.0,65.0,278.92,168.0,499.0,0.060241
TRIAGE_AGE_HOUR|ALL|45-64|ALL,TRIAGE_AGE_HOUR,ALL,45-64,ALL,31,,,,,,,0.096774
TRIAGE_AGE_HOUR|ALL|65-74|0,TRIAGE_AGE_HOUR,ALL,65-74,0,14,62.64,14.0,162.0,337.64,218.0,859.0,0.357143
TRIAGE_AGE_HOUR|ALL|65-74|1,TRIAGE_AGE_HOUR,ALL,65-74,1,8,30.0,22.0,51.0,385.12,237.5,826.0,0.375
TRIAGE_AGE_HOUR|ALL|65-74|10,TRIAGE_AGE_HOUR,ALL,65-74,10,44,51.79,9.5,63.0,314.29,234.5,590.0,0.159091
TRIAGE_AGE_HOUR|ALL|65-74|11,TRIAGE_AGE_HOUR,ALL,65-74,11,38,27.27,9.0,52.0,311.83,236.0,458.0,0.184211
TRIAGE_AGE_HOUR|ALL|65-74|12,TRIAGE_AGE_HOUR,ALL,65-74,12,42,47.14,18.5,137.0,394.9,223.0,570.0,0.357143
TRIAGE_AGE_HOUR|ALL|65-74|13,TRIAGE_AGE_HOUR,ALL,65-74,13,46,40.44,19.0,76.0,411.12,239.0,851.0,0.23913
TRIAGE_AGE_HOUR|ALL|65-74|14,TRIAGE_AGE_HOUR,ALL,65-74,14,42,45.19,24.5,93.0,356.84,203.5,479.0,0.119048
TRIAGE_AGE_HOUR|ALL|65-74|15,TRIAGE_AGE_HOUR,ALL,65-74,15,33,42.83,8.0,150.0,311.48,190.0,599.0,0.212121
TRIAGE_AGE_HOUR|ALL|65-74|16,TRIAGE_AGE_HOUR,ALL,65-74,16,33,58.46,16.5,178.0,510.28,270.0,1138.0,0.242424
TRIAGE_AGE_HOUR|ALL|65-74|17,TRIAGE_AGE_HOUR,ALL,65-74,17,27,47.25,15.0,151.0,285.42,207.5,562.0,0.111111
TRIAGE_AGE_HOUR|ALL|65-74|18,TRIAGE_AGE_HOUR,ALL,65-74,18,26,74.22,16.0,281.0,388.12,228.0,827.0,0.153846
TRIAGE_AGE_HOUR|ALL|65-74|19,TRIAGE_AGE_HOUR,ALL,65-74,19,18,35.21,17.5,102.0,363.27,191.0,1306.0,0.277778
TRIAGE_AGE_HOUR|ALL|65-74|2,TRIAGE_AGE_HOUR,ALL,65-74,2,9,41.88,11.0,130.0,464.44,241.0,701.0,0.777778
TRIAGE_AGE_HOUR|ALL|65-74|20,TRIAGE_AGE_HOUR,ALL,65-74,20,18,33.94,10.0,46.0,399.94,220.0,1071.0,0.388889
TRIAGE_AGE_HOUR|ALL|65-74|21,TRIAGE_AGE_HOUR,ALL,65-74,21,15,18.71,8.5,55.0,550.13,215.0,1009.0,0.2
TRIAGE_AGE_HOUR|ALL|65-74|22,TRIAGE_AGE_HOUR,ALL,65-74,22,16,64.2,37.0,126.0,482.69,267.5,1116.0,0.375
TRIAGE_AGE_HOUR|ALL|65-74|23,TRIAGE_AGE_HOUR,ALL,65-74,23,13,27.08,9.0,107.0,507.92,233.0,304.0,0.538462
TRIAGE_AGE_HOUR|ALL|65-74|3,TRIAGE_AGE_HOUR,ALL,65-74,3,5,5.0,0.0,18.0,424.2,236.0,963.0,0.6
TRIAGE_AGE_HOUR|ALL|65-74|4,TRIAGE_AGE_HOUR,ALL,65-74,4,8,154.29,10.0,117.0,667.62,244.5,1283.0,0.25
TRIAGE_AGE_HOUR|ALL|65-74|5,TRIAGE_AGE_HOUR,ALL,65-74,5,7,10.67,6.0,13.0,212.0,185.0,242.0,0.285714
TRIAGE_AGE_HOUR|ALL|65-74|6,TRIAGE_AGE_HOUR,ALL,65-74,6,12,27.45,6.0,50.0,397.67,372.0,974.0,0.25
TRIAGE_AGE_HOUR|ALL|65-74|7,TRIAGE_AGE_HOUR,ALL,65-74,7,17,19.0,11.0,67.0,359.47,241.0,438.0,0.058824
TRIAGE_AGE_HOUR|ALL|65-74|8,TRIAGE_AGE_HOUR,ALL,65-74,8,19,22.2,11.0,60.0,263.32,181.0,414.0,0.052632
TRIAGE_AGE_HOUR|ALL|65-74|9,TRIAGE_AGE_HOUR,ALL,65-74,9,28,35.46,17.0,76.0,226.69,201.5,352.0,0.214286
TRIAGE_AGE_HOUR|ALL|65-74|ALL,TRIAGE_AGE_HOUR,ALL,65-74,ALL,8,,,,,,,0.0
TRIAGE_AGE_HOUR|ALL|75+|0,TRIAGE_AGE_HOUR,ALL,75+,0,13,20.4,10.0,22.0,476.0,221.0,1044.0,0.538462
TRIAGE_AGE_HOUR|ALL|75+|1,TRIAGE_AGE_HOUR,ALL,75+,1,9,143.0,31.0,71.0,347.44,264.0,525.0,0.111111
TRIAGE_AGE_HOUR|ALL|75+|10,TRIAGE_AGE_HOUR,ALL,75+,10,46,44.74,11.5,119.0,327.59,239.0,551.0,0.347826
TRIAGE_AGE_HOUR|ALL|75+|11,TRIAGE_AGE_HOUR,ALL,75+,11,43,27.21,11.0,57.0,375.9,228.0,520.0,0.325581
TRIAGE_AGE_HOUR|ALL|75+|12,TRIAGE_AGE_HOUR,ALL,75+,12,29,18.35,11.0,53.0,284.41,269.0,479.0,0.344828
TRIAGE_AGE_HOUR|ALL|75+|13,TRIAGE_AGE_HOUR,ALL,75+,13,44,23.06,10.0,66.0,345.1,206.0,577.0,0.272727
TRIAGE_AGE_HOUR|ALL|75+|14,TRIAGE_AGE_HOUR,ALL,75+,14,46,26.54,8.0,74.0,397.6,254.5,680.0,0.391304
TRIAGE_AGE_HOUR|ALL|75+|15,TRIAGE_AGE_HOUR,ALL,75+,15,41,39.11,10.0,89.0,405.59,296.0,542.0,0.463415
TRIAGE_AGE_HOUR|ALL|75+|16,TRIAGE_AGE_HOUR,ALL,75+,16,34,22.59,9.0,63.0,399.03,145.0,345.0,0.147059
TRIAGE_AGE_HOUR|ALL|75+|17,TRIAGE_AGE_HOUR,ALL,75+,17,29,23.75,12.0,70.0,210.54,190.5,357.0,0.275862
TRIAGE_AGE_HOUR|ALL|75+|18,TRIAGE_AGE_HOUR,ALL,75+,18,28,39.48,10.0,127.0,241.93,201.0,476.0,0.142857
TRIAGE_AGE_HOUR|ALL|75+|19,TRIAGE_AGE_HOUR,ALL,75+,19,18,24.62,18.0,77.0,473.89,178.0,317.0,0.5
TRIAGE_AGE_HOUR|ALL|75+|2,TRIAGE_AGE_HOUR,ALL,75+,2,13,16.08,2.5,37.0,358.85,343.0,705.0,0.615385
TRIAGE_AGE_HOUR|ALL|75+|20,TRIAGE_AGE_HOUR,ALL,75+,20,23,22.61,10.5,57.0,351.0,262.5,660.0,0.521739
TRIAGE_AGE_HOUR|ALL|75+|21,TRIAGE_AGE_HOUR,ALL,75+,21,10,8.0,4.0,15.0,291.9,270.0,457.0,0.3
TRIAGE_AGE_HOUR|ALL|75+|22,TRIAGE_AGE_HOUR,ALL,75+,22,16,15.5,8.5,42.0,319.8,177.0,1003.0,0.375
TRIAGE_AGE_HOUR|ALL|75+|23,TRIAGE_AGE_HOUR,ALL,75+,23,13,46.44,20.0,63.0,292.38,193.0,647.0,0.307692
TRIAGE_AGE_HOUR|ALL|75+|3,TRIAGE_AGE_HOUR,ALL,75+,3,5,17.2,1.0,81.0,756.0,134.0,3297.0,0.2
TRIAGE_AGE_HOUR|ALL|75+|4,TRIAGE_AGE_HOUR,ALL,75+,4,9,19.29,16.0,29.0,454.86,351.0,849.0,0.444444
TRIAGE_AGE_HOUR|ALL|75+|5,TRIAGE_AGE_HOUR,ALL,75+,5,9,12.67,15.0,16.0,377.5,372.5,556.0,0.222222
TRIAGE_AGE_HOUR|ALL|75+|6,TRIAGE_AGE_HOUR,ALL,75+,6,9,8.62,2.0,11.0,671.11,279.0,752.0,0.333333
TRIAGE_AGE_HOUR|ALL|75+|7,TRIAGE_AGE_HOUR,ALL,75+,7,18,26.69,6.5,140.0,210.39,190.5,284.0,0.277778
TRIAGE_AGE_HOUR|ALL|75+|8,TRIAGE_AGE_HOUR,ALL,75+,8,21,6.29,5.0,15.0,308.45,201.5,479.0,0.238095
TRIAGE_AGE_HOUR|ALL|75+|9,TRIAGE_AGE_HOUR,ALL,75+,9,39,23.57,12.5,57.0,232.12,230.0,448.0,0.282051
TRIAGE_AGE_HOUR|ALL|75+|ALL,TRIAGE_AGE_HOUR,ALL,75+,ALL,17,,,,,,,0.411765
